Designator,Mid X,Mid Y,Rotation,Layer
C1,105.17,-150.83,270.0,top
C2,99.56,-150.77,270.0,top
C6,111.08,-146.71,0.0,top
C7,107.94,-146.71,180.0,top
D1,108.9,-156.6,0.0,top
D2,109.0,-144.9,0.0,top
E2,115.599999,-148.699999,0.0,top
J1,89.475,-151.150001,180.0,bottom
J2,127.85,-152.6,270.0,top
R3,108.02,-154.67,0.0,top
R4,105.6375,-145.5,90.0,top
R5,105.54,-155.73,270.0,top
S1,101.4975,-155.7,180.0,top
S2,101.9275,-145.55,180.0,top
U1,109.68,-148.190001,180.0,top
U2,102.37,-150.79,0.0,top
Y1,112.3,-153.6,0.0,top
